,obj1,obj2,correlation,zscore,obj1_name,obj2_name
284,OBJ (44).png,OBJ (41).png,0.9942487709977219,-2.6825162629978148,tree,spoon
285,OBJ (27).png,OBJ (41).png,0.9979344258361283,-0.14517897633171045,guitar,spoon
286,OBJ (14).png,OBJ (41).png,0.9977050013661511,-0.3031230290630444,cow,spoon
287,OBJ (32).png,OBJ (41).png,0.9987331681161745,0.40470392330360205,leaf,spoon
288,OBJ (23).png,OBJ (41).png,0.9981435122958122,-0.0012363410190999304,frog,spoon
289,OBJ (29).png,OBJ (41).png,0.9989094793711346,0.5260829294458493,key,spoon
290,OBJ (7).png,OBJ (41).png,0.9908361021805523,-5.031920159047695,bicycle,spoon
291,OBJ (8).png,OBJ (41).png,0.9994222870962494,0.8791182023816788,bird,spoon
292,OBJ (22).png,OBJ (41).png,0.999821111645599,1.1536833595302647,fork,spoon
293,OBJ (42).png,OBJ (41).png,0.996686144179384,-1.004540943413888,squirrel,spoon
294,OBJ (31).png,OBJ (41).png,0.9977934679382899,-0.24221946051066678,lamp,spoon
295,OBJ (45).png,OBJ (41).png,0.9982889507052571,0.09888868842005477,truck,spoon
296,OBJ (20).png,OBJ (41).png,0.9979922736756194,-0.1053544440493727,flower,spoon
297,OBJ (17).png,OBJ (41).png,0.9984703512214018,0.2237713249160386,duck,spoon
298,OBJ (30).png,OBJ (41).png,0.9989254835927659,0.5371008109538963,kite,spoon
299,OBJ (10).png,OBJ (41).png,0.9978606969512778,-0.19593659114855685,butterfly,spoon
300,OBJ (6).png,OBJ (47).png,0.9984573086064484,0.21479231991209732,bear,umbrella
301,OBJ (25).png,OBJ (47).png,0.9975720933841264,-0.39462166180875924,hand,umbrella
302,OBJ (1).png,OBJ (47).png,0.9962873108185272,-1.2791121667207894,airplane,umbrella
303,OBJ (38).png,OBJ (47).png,0.9988740077803374,0.5016630111699406,rabbit,umbrella
304,OBJ (12).png,OBJ (47).png,0.9967386181556607,-0.9684159717537284,chair,umbrella
305,OBJ (21).png,OBJ (47).png,0.9980608937096278,-0.05811394581075925,foot,umbrella
306,OBJ (19).png,OBJ (47).png,0.9972925368664868,-0.5870784183520146,fish,umbrella
307,OBJ (18).png,OBJ (47).png,0.9986910517125388,0.37570947699473695,elephant,umbrella
308,OBJ (4).png,OBJ (47).png,0.9993059280231652,0.7990124334687115,apple,umbrella
309,OBJ (41).png,OBJ (47).png,0.9964922572058359,-1.1380197060630306,spoon,umbrella
311,OBJ (46).png,OBJ (47).png,0.9987296892058644,0.40230891638245553,turtle,umbrella
312,OBJ (11).png,OBJ (47).png,0.999145657955976,0.6886767576539063,cat,umbrella
313,OBJ (16).png,OBJ (47).png,0.997089746482676,-0.7266866086954351,dog,umbrella
314,OBJ (44).png,OBJ (47).png,0.9971286252247792,-0.6999210849765298,tree,umbrella
315,OBJ (27).png,OBJ (47).png,0.9976502690287299,-0.340802737721112,guitar,umbrella
